"date","oh_region","icu_current_covid","icu_current_covid_vented","hospitalizations","icu_crci_total","icu_crci_total_vented","icu_former_covid","icu_former_covid_vented"
"2020-04-01","CENTRAL",51,39,115,0,0,0,0
"2020-04-02","CENTRAL",57,52,129,0,0,0,0
"2020-04-03","CENTRAL",65,57,148,0,0,0,0
"2020-04-04","CENTRAL",65,55,161,0,0,0,0
"2020-04-05","CENTRAL",73,58,154,0,0,0,0
"2020-04-06","CENTRAL",83,68,167,0,0,0,0
"2020-04-07","CENTRAL",85,68,167,0,0,0,0
"2020-04-08","CENTRAL",92,73,177,0,0,0,0
"2020-04-09","CENTRAL",88,73,182,0,0,0,0
"2020-04-10","CENTRAL",90,77,185,0,0,0,0
"2020-04-11","CENTRAL",93,70,189,0,0,0,0
"2020-04-12","CENTRAL",92,78,205,0,0,0,0
"2020-04-13","CENTRAL",89,73,216,0,0,0,0
"2020-04-14","CENTRAL",89,74,212,0,0,0,0
"2020-04-15","CENTRAL",86,67,213,0,0,0,0
"2020-04-16","CENTRAL",86,72,224,0,0,0,0
"2020-04-17","CENTRAL",90,74,231,0,0,0,0
"2020-04-18","CENTRAL",88,73,239,0,0,0,0
"2020-04-19","CENTRAL",87,74,244,0,0,0,0
"2020-04-20","CENTRAL",88,72,238,0,0,0,0
"2020-04-21","CENTRAL",85,68,241,0,0,0,0
"2020-04-22","CENTRAL",85,67,267,0,0,0,0
"2020-04-23","CENTRAL",88,67,272,0,0,0,0
"2020-04-24","CENTRAL",91,73,286,0,0,0,0
"2020-04-25","CENTRAL",92,70,284,0,0,0,0
"2020-04-26","CENTRAL",91,70,276,0,0,0,0
"2020-04-27","CENTRAL",89,65,275,0,0,0,0
"2020-04-28","CENTRAL",86,64,290,0,0,0,0
"2020-04-29","CENTRAL",86,61,299,0,0,0,0
"2020-04-30","CENTRAL",79,59,301,0,0,0,0
"2020-05-01","CENTRAL",79,55,303,83,64,4,9
"2020-05-02","CENTRAL",87,65,303,91,67,4,2
"2020-05-03","CENTRAL",85,66,305,89,69,4,3
"2020-05-04","CENTRAL",86,67,302,90,72,4,5
"2020-05-05","CENTRAL",84,67,303,90,74,6,7
"2020-05-06","CENTRAL",83,60,299,86,70,3,10
"2020-05-07","CENTRAL",81,64,305,85,69,4,5
"2020-05-08","CENTRAL",78,63,281,82,68,4,5
"2020-05-09","CENTRAL",76,53,289,80,63,4,10
"2020-05-10","CENTRAL",75,58,297,81,64,6,6
"2020-05-11","CENTRAL",78,60,304,83,63,5,3
"2020-05-12","CENTRAL",76,56,313,80,59,4,3
"2020-05-13","CENTRAL",74,55,311,77,59,3,4
"2020-05-14","CENTRAL",73,56,319,77,60,4,4
"2020-05-15","CENTRAL",74,59,304,78,63,4,4
"2020-05-16","CENTRAL",65,57,310,70,60,5,3
"2020-05-17","CENTRAL",68,56,308,73,59,5,3
"2020-05-18","CENTRAL",66,53,312,76,60,10,7
"2020-05-19","CENTRAL",67,51,311,78,59,11,8
"2020-05-20","CENTRAL",66,52,297,77,60,11,8
"2020-05-21","CENTRAL",64,52,283,76,61,12,9
"2020-05-22","CENTRAL",63,52,273,78,62,15,10
"2020-05-23","CENTRAL",64,49,277,80,64,16,15
"2020-05-24","CENTRAL",61,50,267,76,64,15,14
"2020-05-25","CENTRAL",62,50,272,77,64,15,14
"2020-05-26","CENTRAL",65,54,267,78,64,13,10
"2020-05-27","CENTRAL",66,42,266,79,63,13,21
"2020-05-28","CENTRAL",61,52,268,76,62,15,10
"2020-05-29","CENTRAL",60,39,253,75,60,15,21
"2020-05-30","CENTRAL",60,47,254,76,56,16,9
"2020-05-31","CENTRAL",62,48,266,76,57,14,9
"2020-06-01","CENTRAL",61,47,270,75,56,14,9
"2020-06-02","CENTRAL",62,49,268,75,60,13,11
"2020-06-03","CENTRAL",58,45,263,72,54,14,9
"2020-06-04","CENTRAL",57,45,243,71,55,14,10
"2020-06-05","CENTRAL",58,48,234,71,56,13,8
"2020-06-06","CENTRAL",55,45,223,66,55,11,10
"2020-06-07","CENTRAL",53,41,209,64,51,11,10
"2020-06-08","CENTRAL",51,41,211,62,48,11,7
"2020-06-09","CENTRAL",52,39,193,62,47,10,8
"2020-06-10","CENTRAL",53,40,178,64,48,11,8
"2020-06-11","CENTRAL",48,34,170,60,46,12,12
"2020-06-12","CENTRAL",46,21,162,58,39,12,18
"2020-06-13","CENTRAL",45,30,153,57,41,12,11
"2020-06-14","CENTRAL",44,23,150,57,35,13,12
"2020-06-15","CENTRAL",42,27,138,56,38,14,11
"2020-06-16","CENTRAL",37,24,133,50,34,13,10
"2020-06-17","CENTRAL",33,19,128,48,30,15,11
"2020-06-18","CENTRAL",31,23,126,46,30,15,7
"2020-06-19","CENTRAL",29,22,119,46,35,17,13
"2020-06-20","CENTRAL",31,22,113,48,34,17,12
"2020-06-21","CENTRAL",24,17,118,44,30,20,13
"2020-06-22","CENTRAL",25,18,111,45,30,20,12
"2020-06-23","CENTRAL",24,18,109,42,32,18,14
"2020-06-24","CENTRAL",22,19,105,40,32,18,13
"2020-06-25","CENTRAL",21,17,100,40,29,19,12
"2020-06-26","CENTRAL",19,15,93,39,29,20,14
"2020-06-27","CENTRAL",19,14,97,39,27,20,13
"2020-06-28","CENTRAL",19,14,90,40,25,21,11
"2020-06-29","CENTRAL",16,14,94,34,24,18,10
"2020-06-30","CENTRAL",18,13,49,32,22,14,9
"2020-07-01","CENTRAL",19,12,50,35,23,16,11
"2020-07-02","CENTRAL",19,12,47,34,23,15,11
